bedrooms,bathrooms,sqft,year_built,price
3,2,1800,2010,320000
4,3,2400,2015,480000
2,1,1200,2005,250000
5,4,3200,2018,650000
3,2.5,2000,2012,385000
4,2,2200,2008,410000
2,2,1400,2016,295000
3,3,2100,2017,420000
4,3.5,2800,2019,580000
3,2,1900,2011,350000
5,3,2900,2014,570000
2,1.5,1300,2007,265000
4,2.5,2350,2013,445000
3,2,1850,2009,335000
6,4,3500,2020,720000
3,3,2250,2016,460000
4,2,2100,2010,395000
2,2,1500,2015,310000
5,4,3100,2017,640000
3,2.5,2050,2012,400000
4,3,2600,2018,520000
2,1,1150,2006,240000
3,2,1950,2011,360000
5,3.5,3000,2019,610000
4,2.5,2400,2013,465000
3,2,1800,2008,325000
2,2,1450,2014,300000
4,3,2550,2016,505000
3,2.5,2000,2010,380000
5,4,3300,2020,680000
3,2,1900,2012,355000
4,2,2150,2009,405000
2,1.5,1350,2015,285000
3,3,2200,2017,440000
4,3.5,2750,2018,555000
5,3,2950,2013,590000
2,2,1400,2007,275000
3,2,1850,2011,340000
4,2.5,2300,2014,450000
3,2.5,2100,2016,415000
5,4,3150,2019,660000
2,1,1250,2008,255000
4,3,2500,2015,490000
3,2,1950,2010,365000
6,4.5,3600,2020,750000
3,3,2150,2017,435000
4,2,2200,2011,400000
2,2,1500,2016,315000
5,3.5,3050,2018,625000
3,2.5,2000,2012,385000
4,3,2650,2019,535000
2,1.5,1300,2006,260000
3,2,1900,2013,355000
5,4,3250,2020,690000
4,2.5,2450,2014,475000
3,2,1750,2009,330000
2,2,1450,2015,305000
4,3,2600,2017,515000
3,2.5,2050,2011,390000
5,3,3000,2016,605000
3,2,1850,2010,345000
4,2,2100,2012,395000
2,1,1200,2007,245000
3,3,2250,2018,455000
4,3.5,2800,2019,565000
5,4,3200,2015,655000
2,2,1400,2008,280000
3,2,1900,2013,360000
4,2.5,2350,2016,460000
3,2.5,2000,2010,375000
6,4,3400,2020,710000
2,1.5,1350,2009,270000
4,3,2550,2017,500000
3,2,1950,2011,370000
5,3.5,3100,2019,635000
3,3,2200,2015,445000
4,2,2150,2012,410000
2,2,1500,2016,320000
5,4,3250,2018,675000
3,2.5,2050,2013,395000
4,3,2700,2020,545000
2,1,1250,2007,250000
3,2,1850,2014,350000
5,4,3300,2019,685000
4,2.5,2400,2015,470000
3,2,1800,2010,335000
2,2,1450,2016,310000
4,3,2600,2018,520000
3,2.5,2000,2011,385000
5,3,2950,2017,595000
3,2,1900,2012,360000
4,2,2200,2013,415000
2,1.5,1300,2008,265000
3,3,2250,2019,465000
4,3.5,2850,2020,575000
5,4,3150,2016,645000
2,2,1400,2009,285000
3,2,1850,2014,345000
4,2.5,2300,2017,455000
3,2.5,2100,2012,405000
6,4.5,3500,2020,735000
2,1,1200,2010,255000
4,3,2500,2016,495000
3,2,1950,2013,375000
5,3.5,3050,2019,620000
3,3,2150,2015,430000
4,2,2150,2011,400000
2,2,1500,2017,325000
5,4,3200,2018,665000
3,2.5,2000,2014,390000
4,3,2650,2020,540000
2,1.5,1350,2007,270000
3,2,1900,2015,365000
5,4,3300,2019,695000
4,2.5,2450,2016,480000
3,2,1750,2010,325000
2,2,1450,2017,315000
4,3,2550,2018,510000
3,2.5,2050,2012,395000
5,3,3000,2015,600000
3,2,1850,2011,350000
4,2,2100,2013,400000
2,1,1250,2008,250000
3,3,2200,2019,450000
4,3.5,2750,2020,560000
5,4,3250,2017,680000
2,2,1400,2010,290000
3,2,1900,2016,370000
4,2.5,2350,2018,465000
3,2.5,2000,2011,380000
6,4,3450,2020,725000
2,1.5,1300,2009,265000
4,3,2500,2015,490000
3,2,1950,2012,365000
5,3.5,3100,2019,630000
3,3,2250,2016,460000
4,2,2200,2013,415000
2,2,1500,2018,330000
5,4,3200,2019,670000
3,2.5,2050,2014,390000
4,3,2600,2020,530000
2,1,1200,2007,245000
3,2,1850,2015,355000
5,4,3350,2019,700000
4,2.5,2400,2017,475000
3,2,1800,2011,340000
2,2,1450,2018,320000
4,3,2600,2019,525000
3,2.5,2000,2012,385000
5,3,2950,2016,590000
3,2,1900,2013,365000
4,2,2150,2014,410000
2,1.5,1350,2009,275000
3,3,2200,2020,470000
4,3.5,2800,2020,570000
5,4,3200,2018,660000
2,2,1400,2011,295000
3,2,1850,2017,360000
4,2.5,2300,2019,460000
3,2.5,2100,2013,410000
6,4.5,3550,2020,740000
2,1,1250,2010,260000
4,3,2550,2016,505000
3,2,1950,2014,380000
5,3.5,3050,2019,615000
3,3,2150,2017,440000
4,2,2100,2012,395000
2,2,1500,2019,335000
5,4,3250,2020,685000
3,2.5,2000,2015,395000
4,3,2700,2020,550000
2,1.5,1300,2008,265000
3,2,1900,2016,370000
5,4,3300,2020,705000
4,2.5,2450,2018,485000
3,2,1800,2012,345000
2,2,1450,2019,325000
4,3,2600,2020,530000
3,2.5,2050,2013,400000
5,3,3000,2017,610000
3,2,1850,2012,355000
4,2,2200,2014,420000
2,1,1200,2009,250000
3,3,2250,2020,475000
4,3.5,2850,2020,580000
5,4,3150,2019,650000
2,2,1400,2012,300000
3,2,1900,2018,375000
4,2.5,2350,2020,470000
3,2.5,2100,2014,415000
6,4,3500,2020,730000
2,1.5,1350,2010,275000
4,3,2500,2017,500000
3,2,1950,2015,385000
5,3.5,3100,2020,640000
3,3,2200,2018,465000
4,2,2150,2013,405000
2,2,1500,2020,340000
